$LSD1,000600,0739.7157,S,10741.5808,E,1,10,0.7,36.5,M,0.9,M,,*59
$LSD1,000601,0739.7295,S,10741.5787,E,1,10,0.7,56.8,M,0.9,M,,*57
$LSD1,000602,0739.7558,S,10741.5766,E,1,10,0.7,71.4,M,0.9,M,,*55
$LSD2,000603,0739.7783,S,10741.5760,E,9,10,1.4,151.0,M,0.9,M,,*53
$LSD2,000604,0739.7857,S,10741.5752,E,9,10,1.4,320.0,M,0.9,M,,*54
$LSD2,000605,0739.8085,S,10741.5741,E,9,10,1.4,320.7,M,0.9,M,,*54
$LSD2,000606,0739.8197,S,10741.5740,E,9,10,1.4,320.2,M,0.9,M,,*54
$LSD2,000607,0739.8307,S,10741.5739,E,9,10,1.4,321.2,M,0.9,M,,*54
$LSD1,000608,0739.8383,S,10741.5740,E,9,10,1.4,320.8,M,0.9,M,,*54
$LSD1,000609,0739.8520,S,10741.5743,E,0,10,0.7,319.5,M,0.9,M,,*63
$LSD1,000610,0739.9035,S,10741.5760,E,0,10,0.7,321.4,M,0.9,M,,*67
$LSD1,000611,0739.9910,S,10741.5770,E,0,10,0.7,320.3,M,0.9,M,,*54
